,0
WEC,2.303330804265681e-05
LULU,4.940722137689591e-05
ES,6.295498904018175e-05
MAA,6.352559264217105e-05
DVA,7.171410446365674e-05
GWW,9.301616145031794e-05
KO,0.0001063657392348562
XEL,0.00010824127211457208
AEP,0.0001117675964321409
HSY,0.0001162211455049969
PG,0.00016403764131523317
DTE,0.00016560166009834835
CPRT,0.0001852226754029592
AMZN,0.00021428581149805163
NFLX,0.0002166584666286196
T,0.00022773881043706623
ETR,0.0002287304827145168
JNJ,0.00022978371097928004
FE,0.00023205124196552096
ED,0.00024228530625502271
CHD,0.00025689662212417244
BSX,0.00031442915399869283
DLR,0.00031838619283267435
ARE,0.00032896537865911217
VZ,0.0003388540021010808
ABT,0.0003513361016909282
HRL,0.00035172119027092346
MKC,0.0003605745732784272
CLX,0.0003650427574203128
EBAY,0.00036974031300771807
MRK,0.00043747755033629284
DUK,0.00044356048816726325
CMG,0.0004950720994245438
SO,0.0005351175154958453
BAX,0.0005816678560915448
VLO,0.0005910786844435193
EQT,0.0006805836444809324
O,0.0007201885183652243
KMB,0.0007268238635290237
TTWO,0.0007569906967026847
UHS,0.0007811694627716428
GIS,0.0007989863554636638
LDOS,0.000806046241805667
EFX,0.0008073241937728156
VTR,0.0009539263589041575
MDT,0.0010154268571308683
LLY,0.0010552456691151574
WELL,0.001065233207884289
EXPE,0.0011918015423275177
BDX,0.0012879866929281327
BKNG,0.001383296364829654
DOC,0.0013852345091956003
SYK,0.001445655595688593
FIX,0.0014624520426704771
NEM,0.0015799698375520254
EA,0.0016898437624885923
BLDR,0.0018918145270574662
EQIX,0.0020004790453683765
LH,0.002177206249464126
DGX,0.0026726206143697106
AXON,0.004904315585181827
