portfolio,model,var5,var1,cvar5,probability_drawdown_10pct
random_dirichlet_16,factor_ddpm_base,-0.2251447460966032,-0.2369493282613522,-0.23498314409123378,0.6538461538461539
random_dirichlet_16,historical_bootstrap_train,-0.1210981816115114,-0.16261949937090997,-0.155985574008326,0.38461538461538464
random_dirichlet_16,gaussian_cov_train,-0.1353868444993702,-0.17952340263206554,-0.16170774254513562,0.38461538461538464
random_dirichlet_16,t_copula_train,-0.1647039102736431,-0.21031508775954674,-0.19887541350678117,0.5384615384615384
random_dirichlet_16,filtered_historical_simulation_train,-0.16386641128024057,-0.194316671835342,-0.18835284125874055,0.3974358974358974
random_dirichlet_16,gaussian_factor_same_calibration_stack,-0.1719619302778418,-0.22148301658301597,-0.20826093053730552,0.3717948717948718
random_dirichlet_16,factor_ddpm_stress_uncalibrated,-0.25738619424208786,-0.33477660284698224,-0.30457827140952365,0.7051282051282052
random_dirichlet_16,factor_ddpm_base_uncalibrated,-0.1995946514734332,-0.21299560488371463,-0.21131955543722752,0.6025641025641025
random_dirichlet_17,factor_ddpm_stress,-0.27163564419977243,-0.39822248014290446,-0.3650667798186531,0.7307692307692307
random_dirichlet_17,factor_ddpm_base,-0.22631227667005918,-0.2532534250766274,-0.24475551404271528,0.6666666666666666
random_dirichlet_17,historical_bootstrap_train,-0.12328079732975736,-0.16518616210944306,-0.16056156859882129,0.3717948717948718
random_dirichlet_17,gaussian_cov_train,-0.13469548654130042,-0.17430253902350354,-0.1594212403403401,0.38461538461538464
random_dirichlet_17,t_copula_train,-0.16433320704291707,-0.21419072858145038,-0.1991404637651015,0.5384615384615384
random_dirichlet_17,filtered_historical_simulation_train,-0.16888077901411294,-0.19656268497816462,-0.18839452187202707,0.4358974358974359
random_dirichlet_17,gaussian_factor_same_calibration_stack,-0.17338716672698515,-0.22055714472367385,-0.21153359777254285,0.3974358974358974
random_dirichlet_17,factor_ddpm_stress_uncalibrated,-0.25317021056116207,-0.3668740325216647,-0.33299662022809295,0.7051282051282052
random_dirichlet_17,factor_ddpm_base_uncalibrated,-0.20658695678310351,-0.2352958254203239,-0.2225907035928712,0.6025641025641025
random_dirichlet_18,factor_ddpm_stress,-0.2897525623744063,-0.37626084258525866,-0.34936239484726683,0.7307692307692307
random_dirichlet_18,factor_ddpm_base,-0.2287747367904042,-0.23970056066023263,-0.23929871731044436,0.6410256410256411
random_dirichlet_18,historical_bootstrap_train,-0.11638797961935511,-0.1647181390564192,-0.1593340752156175,0.3717948717948718
random_dirichlet_18,gaussian_cov_train,-0.13202858886621455,-0.1721961186515126,-0.15957700355749568,0.3717948717948718
random_dirichlet_18,t_copula_train,-0.16018247346671177,-0.21146690443773095,-0.19996868087750097,0.5512820512820513
random_dirichlet_18,filtered_historical_simulation_train,-0.16679686620067158,-0.1920092345792919,-0.18506412418123017,0.41025641025641024
random_dirichlet_18,gaussian_factor_same_calibration_stack,-0.17173394237480175,-0.2237556633902322,-0.20856588115119323,0.358974358974359
random_dirichlet_18,factor_ddpm_stress_uncalibrated,-0.27332580544718826,-0.33902135936612415,-0.3169192521443982,0.6923076923076923
random_dirichlet_18,factor_ddpm_base_uncalibrated,-0.20453979781402085,-0.2189306704398397,-0.21615631302997648,0.5641025641025641
random_dirichlet_19,factor_ddpm_stress,-0.2639112752000842,-0.362505239519229,-0.3424185061695725,0.7307692307692307
random_dirichlet_19,factor_ddpm_base,-0.2168394749047449,-0.2307922214291702,-0.22987053740702748,0.6538461538461539
random_dirichlet_19,historical_bootstrap_train,-0.1193533305939755,-0.16148676818782964,-0.1569523038558387,0.3717948717948718
random_dirichlet_19,gaussian_cov_train,-0.1401315546576448,-0.1746311093917266,-0.163163481099315,0.3717948717948718
random_dirichlet_19,t_copula_train,-0.16390197939447682,-0.21326374343533186,-0.19693148866916402,0.5384615384615384
random_dirichlet_19,filtered_historical_simulation_train,-0.16364033404367767,-0.18811478994951125,-0.18463057981968814,0.41025641025641024
random_dirichlet_19,gaussian_factor_same_calibration_stack,-0.17099789306564056,-0.2271539030692389,-0.2084803616215824,0.34615384615384615
random_dirichlet_19,factor_ddpm_stress_uncalibrated,-0.23240033415854885,-0.31246319674120526,-0.3033659602543057,0.6282051282051282
random_dirichlet_19,factor_ddpm_base_uncalibrated,-0.1921398374179812,-0.20276622020702195,-0.20110407324348456,0.5256410256410257
random_dirichlet_20,factor_ddpm_stress,-0.26167862564991884,-0.3535142642358013,-0.329648239687698,0.717948717948718
random_dirichlet_20,factor_ddpm_base,-0.20737183998784905,-0.21495696660365324,-0.2139067990835213,0.6153846153846154
random_dirichlet_20,historical_bootstrap_train,-0.12550977705916228,-0.167204156163066,-0.16233242834320494,0.41025641025641024
random_dirichlet_20,gaussian_cov_train,-0.1365196439811171,-0.17967319935811782,-0.16443770425452983,0.4230769230769231
random_dirichlet_20,t_copula_train,-0.16554468910289552,-0.21525796926509255,-0.2003504617539984,0.5512820512820513
random_dirichlet_20,filtered_historical_simulation_train,-0.16723057334814023,-0.1972693383827402,-0.19244610243345037,0.4230769230769231
random_dirichlet_20,gaussian_factor_same_calibration_stack,-0.16474372387876024,-0.22773836618447343,-0.21262682297895363,0.3717948717948718
random_dirichlet_20,factor_ddpm_stress_uncalibrated,-0.2416113384604489,-0.3003801058330926,-0.2856905377884791,0.6538461538461539
random_dirichlet_20,factor_ddpm_base_uncalibrated,-0.17908708552126437,-0.19150442803698822,-0.187651128341912,0.5
random_dirichlet_21,factor_ddpm_stress,-0.2592573938352414,-0.3664391269370255,-0.3547341651713374,0.7307692307692307
random_dirichlet_21,factor_ddpm_base,-0.2176322139409121,-0.24040766289670307,-0.2341712160685733,0.6282051282051282
random_dirichlet_21,historical_bootstrap_train,-0.13184674429233575,-0.17061186489254204,-0.1670390852371741,0.4230769230769231
random_dirichlet_21,gaussian_cov_train,-0.14259745632445728,-0.18364917611430986,-0.1689451970372037,0.46153846153846156
random_dirichlet_21,t_copula_train,-0.1706847377318553,-0.21813998443472504,-0.20597947728672578,0.5512820512820513
random_dirichlet_21,filtered_historical_simulation_train,-0.17500968572393055,-0.19763681179209822,-0.197325390316157,0.44871794871794873
random_dirichlet_21,gaussian_factor_same_calibration_stack,-0.17702973516614975,-0.2356768259452054,-0.218494621353731,0.3974358974358974
random_dirichlet_21,factor_ddpm_stress_uncalibrated,-0.23381074333162857,-0.33389803946703245,-0.3152276192642047,0.6538461538461539
random_dirichlet_21,factor_ddpm_base_uncalibrated,-0.18748571064224423,-0.20450420190231589,-0.20348659600961938,0.5128205128205128
random_dirichlet_22,factor_ddpm_stress,-0.27473040688761974,-0.3734637145976754,-0.35667587808865076,0.7307692307692307
random_dirichlet_22,factor_ddpm_base,-0.21992973309660233,-0.23703562536393694,-0.2345951652465319,0.6410256410256411
random_dirichlet_22,historical_bootstrap_train,-0.11830107667266833,-0.16944588668122654,-0.1572201822716535,0.38461538461538464
random_dirichlet_22,gaussian_cov_train,-0.14066329559864607,-0.16953725407379627,-0.15939328705597422,0.3717948717948718
random_dirichlet_22,t_copula_train,-0.16965019269476872,-0.21111492955667877,-0.19689087736773606,0.5384615384615384
random_dirichlet_22,filtered_historical_simulation_train,-0.16639787815678594,-0.19363892293759136,-0.189730467302707,0.4230769230769231
random_dirichlet_22,gaussian_factor_same_calibration_stack,-0.1670794099789049,-0.22602185924382448,-0.20926072153889877,0.358974358974359
random_dirichlet_22,factor_ddpm_stress_uncalibrated,-0.24990424151330146,-0.3341361247662679,-0.31938189327229805,0.6666666666666666
random_dirichlet_22,factor_ddpm_base_uncalibrated,-0.19580936963518433,-0.20766698288240998,-0.20547244239815504,0.5512820512820513
random_dirichlet_23,factor_ddpm_stress,-0.2813080951868723,-0.3623754105875744,-0.34780190272405775,0.7307692307692307
random_dirichlet_23,factor_ddpm_base,-0.22732738458475546,-0.23817049977352467,-0.2365776804597586,0.6538461538461539
random_dirichlet_23,historical_bootstrap_train,-0.12538930483811656,-0.1659786258870369,-0.15729978261658661,0.38461538461538464
random_dirichlet_23,gaussian_cov_train,-0.1385133949921053,-0.18062859080443605,-0.16643829139988725,0.3974358974358974
random_dirichlet_23,t_copula_train,-0.16341303869275445,-0.21235639517532467,-0.19699839106851258,0.5512820512820513
random_dirichlet_23,filtered_historical_simulation_train,-0.1671526662535228,-0.19497247570064738,-0.18914240662423773,0.4358974358974359
random_dirichlet_23,gaussian_factor_same_calibration_stack,-0.17137383245145407,-0.2303183559792518,-0.21273562765975573,0.3717948717948718
random_dirichlet_23,factor_ddpm_stress_uncalibrated,-0.2602685097327243,-0.3169951531708879,-0.3074639056010793,0.6666666666666666
random_dirichlet_23,factor_ddpm_base_uncalibrated,-0.20371202524857582,-0.21236695902230587,-0.2102194309554796,0.5769230769230769
random_dirichlet_24,factor_ddpm_stress,-0.290263311638816,-0.40111146184698443,-0.38262409827186494,0.7435897435897436
random_dirichlet_24,factor_ddpm_base,-0.23621317832235214,-0.25376370893152306,-0.2523919600081865,0.6538461538461539
random_dirichlet_24,historical_bootstrap_train,-0.12436849506568806,-0.16972250892199417,-0.16212284074411262,0.38461538461538464
random_dirichlet_24,gaussian_cov_train,-0.13564353824783332,-0.18399485599749524,-0.16375012133180422,0.41025641025641024
random_dirichlet_24,t_copula_train,-0.1691548232473282,-0.21169162483477022,-0.19731450606406,0.5384615384615384
random_dirichlet_24,filtered_historical_simulation_train,-0.16804148772580432,-0.19545952037055542,-0.1914345815142368,0.44871794871794873
random_dirichlet_24,gaussian_factor_same_calibration_stack,-0.16748965763257462,-0.2259990956512464,-0.2103837279148946,0.358974358974359
random_dirichlet_24,factor_ddpm_stress_uncalibrated,-0.26590217946158073,-0.37974696813535797,-0.350441605906713,0.6923076923076923
random_dirichlet_24,factor_ddpm_base_uncalibrated,-0.20938629335111017,-0.23007255323165926,-0.2274383774403556,0.5897435897435898
